日付 時刻,始値,高値,安値,終値,出来高,売買代金
2017-05-17 夜間,19730,19770,19410,19440,14925,292308435
2017-05-17 日中,19760,19810,19725,19740,10375,205057250
2017-05-16 夜間,19855,19930,19775,19785,7249,143962680
2017-05-16 日中,19905,19960,19830,19845,6691,133138335
2017-05-15 夜間,19870,19925,19820,19925,5366,106664390
2017-05-15 日中,19735,19850,19715,19850,5087,100657925
2017-05-12 夜間,19830,19850,19750,19770,4334,85798575
2017-05-12 日中,19825,19910,19770,19840,6658,132060430
2017-05-11 夜間,19920,19935,19755,19835,6468,128337585
2017-05-11 日中,19915,19960,19870,19925,3636,72418610
2017-05-10 夜間,19905,19935,19830,19905,2940,58442700
2017-05-10 日中,19875,19905,19825,19870,5461,108475335
2017-05-09 夜間,19870,19990,19860,19885,6777,135058445
2017-05-09 日中,19845,19875,19805,19840,4720,93647160
2017-05-08 夜間,19825,19885,19735,19870,3877,76768710
2017-05-08 日中,19695,19890,19660,19825,8500,167981635
2017-05-02 夜間,19430,19475,19410,19430,3086,59993665
2017-05-02 日中,19300,19440,19290,19440,5807,112529540
2017-05-01 夜間,19280,19325,19240,19325,2190,42239420
2017-05-01 日中,19145,19265,19145,19265,2916,56039335
2017-04-28 夜間,19145,19225,19140,19200,2495,47864355
2017-04-28 日中,19185,19220,19120,19155,2714,52023765
2017-04-27 夜間,19220,19265,19150,19205,2525,48515580
2017-04-27 日中,19165,19245,19155,19245,3450,66245135
2017-04-26 夜間,19210,19280,19130,19135,4378,84169680
2017-04-26 日中,19120,19250,19120,19230,4273,81969630
2017-04-25 夜間,19055,19195,19030,19145,3526,67392955
2017-04-25 日中,18850,19065,18810,19040,5335,101151855
2017-04-24 夜間,18855,18950,18820,18860,3033,57301420
2017-04-24 日中,18855,18900,18795,18890,5611,105742740
2017-04-21 夜間,18590,18600,18505,18575,1901,35289780
2017-04-21 日中,18540,18610,18495,18610,3612,66981915
2017-04-20 夜間,18430,18575,18430,18550,2608,48242790
2017-04-20 日中,18355,18475,18355,18420,2691,49581365
2017-04-19 夜間,18400,18465,18330,18330,2071,38125345
2017-04-19 日中,18255,18425,18255,18370,2935,53866820
2017-04-18 夜間,18355,18360,18220,18270,2306,42196245
2017-04-18 日中,18435,18505,18310,18390,3426,63080060
2017-04-17 夜間,18255,18440,18250,18425,1790,32813145
2017-04-17 日中,18195,18315,18160,18270,3036,55374840
2017-04-14 夜間,18255,18280,18165,18210,1105,20127775
2017-04-14 日中,18295,18360,18245,18280,2705,49527300
2017-04-13 夜間,18350,18380,18285,18310,2413,44223755
2017-04-13 日中,18375,18415,18260,18360,4131,75719900
2017-04-12 夜間,18560,18580,18410,18425,3612,66825430
2017-04-12 日中,18580,18580,18410,18490,2635,48721615
2017-04-11 夜間,18655,18705,18510,18590,3280,61048685
